Hourly measurement data supplied by UK-air on 14/08/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Bexley",,"London Bloomsbury",,"London Eltham",,"London Harlington",,"London Marylebone Road",,"London N. Kensington",,"London Teddington Bushy Park",
Latitude,,51.466030,,51.522290,,51.452580,,51.488790,,51.522530,,51.521050,,51.425286,,
Longitude,,0.184806,,-0.125889,,0.070766,,-0.441614,,-0.154611,,-0.213492,,-0.345606,,
Site Type,,Suburban Background,,Urban Background,,Suburban Background,,Urban Industrial,,Urban Traffic,,Urban Background,,Urban Background,,
Zone,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,
Agglomeration,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,
Local Authority,,"Bexley",,"Camden",,"Greenwich",,"Hillingdon",,"Westminster",,"Kensington",,"Richmond",,
Date,Time,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2017-11-02,03:00:00,18.3,V ugm-3 (TEOM FDMS),21.1,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),17.814,V ugm-3 (Ref.eq),27,V ugm-3 (TEOM FDMS),31.1,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS)
2017-11-02,04:00:00,16.7,V ugm-3 (TEOM FDMS),18.8,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),16.347,V ugm-3 (Ref.eq),24,V ugm-3 (TEOM FDMS),26.3,V ugm-3 (TEOM FDMS),19.6,V ugm-3 (TEOM FDMS)
2017-11-02,05:00:00,15.5,V ugm-3 (TEOM FDMS),18.9,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),14.311,V ugm-3 (Ref.eq),27.6,V ugm-3 (TEOM FDMS),30.2,V ugm-3 (TEOM FDMS),16.6,V ugm-3 (TEOM FDMS)
2017-11-02,06:00:00,17.3,V ugm-3 (TEOM FDMS),20.4,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),16.054,V ugm-3 (Ref.eq),25.8,V ugm-3 (TEOM FDMS),26.6,V ugm-3 (TEOM FDMS),16.5,V ugm-3 (TEOM FDMS)
2017-11-02,07:00:00,19.9,V ugm-3 (TEOM FDMS),22.8,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),15.875,V ugm-3 (Ref.eq),33.2,V ugm-3 (TEOM FDMS),25.3,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS)
2017-11-02,08:00:00,21.8,V ugm-3 (TEOM FDMS),23.4,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),15.519,V ugm-3 (Ref.eq),27.8,V ugm-3 (TEOM FDMS),23.7,V ugm-3 (TEOM FDMS),27.8,V ugm-3 (TEOM FDMS)
2017-11-02,09:00:00,21.7,V ugm-3 (TEOM FDMS),23.8,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),20.139,V ugm-3 (Ref.eq),38.7,V ugm-3 (TEOM FDMS),29.4,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS)
2017-11-02,10:00:00,25.8,V ugm-3 (TEOM FDMS),31.1,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),22.5,V ugm-3 (Ref.eq),37,V ugm-3 (TEOM FDMS),30.6,V ugm-3 (TEOM FDMS),28.2,V ugm-3 (TEOM FDMS)
2017-11-02,11:00:00,29.6,V ugm-3 (TEOM FDMS),27.8,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),22.035,V ugm-3 (Ref.eq),34.6,V ugm-3 (TEOM FDMS),33.2,V ugm-3 (TEOM FDMS),24.1,V ugm-3 (TEOM FDMS)
2017-11-02,12:00:00,30.9,V ugm-3 (TEOM FDMS),27.9,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),25.599,V ugm-3 (Ref.eq),41.5,V ugm-3 (TEOM FDMS),32.2,V ugm-3 (TEOM FDMS),20.7,V ugm-3 (TEOM FDMS)
2017-11-02,13:00:00,32.6,V ugm-3 (TEOM FDMS),26.6,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),24.156,V ugm-3 (Ref.eq),36.1,V ugm-3 (TEOM FDMS),33.7,V ugm-3 (TEOM FDMS),34.1,V ugm-3 (TEOM FDMS)
2017-11-02,14:00:00,39.4,V ugm-3 (TEOM FDMS),21.2,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),27.882,V ugm-3 (Ref.eq),31.2,V ugm-3 (TEOM FDMS),27.9,V ugm-3 (TEOM FDMS),29.4,V ugm-3 (TEOM FDMS)
