Hourly measurement data supplied by UK-air on 14/08/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Glasgow High Street",,"Glasgow Townhead",
Latitude,,55.860936,,55.865782,,
Longitude,,-4.238214,,-4.243631,,
Site Type,,Urban Traffic,,Urban Background,,
Zone,,Central Scotland,,Central Scotland,,
Agglomeration,,Glasgow Urban Area,,Glasgow Urban Area,,
Local Authority,,"Glasgow",,"Glasgow",,
Date,Time,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2017-11-04,21:00:00,17.6,V ugm-3 (TEOM FDMS),11.352,V ugm-3 (TEOM FDMS)
2017-11-04,22:00:00,20.6,V ugm-3 (TEOM FDMS),18.46,V ugm-3 (TEOM FDMS)
2017-11-04,23:00:00,15.1,V ugm-3 (TEOM FDMS),9.872,V ugm-3 (TEOM FDMS)
2017-11-04,24:00:00,9.2,V ugm-3 (TEOM FDMS),5.824,V ugm-3 (TEOM FDMS)
2017-11-05,01:00:00,4.9,V ugm-3 (TEOM FDMS),8.39,V ugm-3 (TEOM FDMS)
2017-11-05,02:00:00,6.6,V ugm-3 (TEOM FDMS),4.836,V ugm-3 (TEOM FDMS)
2017-11-05,03:00:00,13.4,V ugm-3 (TEOM FDMS),7.6,V ugm-3 (TEOM FDMS)
2017-11-05,04:00:00,12.5,V ugm-3 (TEOM FDMS),3.257,V ugm-3 (TEOM FDMS)
2017-11-05,05:00:00,0.7,V ugm-3 (TEOM FDMS),3.751,V ugm-3 (TEOM FDMS)
2017-11-05,06:00:00,3.5,V ugm-3 (TEOM FDMS),4.047,V ugm-3 (TEOM FDMS)
2017-11-05,07:00:00,0.8,V ugm-3 (TEOM FDMS),2.073,V ugm-3 (TEOM FDMS)
2017-11-05,08:00:00,1.3,V ugm-3 (TEOM FDMS),3.158,V ugm-3 (TEOM FDMS)
2017-11-05,09:00:00,-1.5,V ugm-3 (TEOM FDMS),4.54,V ugm-3 (TEOM FDMS)
2017-11-05,10:00:00,3.1,V ugm-3 (TEOM FDMS),3.751,V ugm-3 (TEOM FDMS)
2017-11-05,11:00:00,3.3,V ugm-3 (TEOM FDMS),4.738,V ugm-3 (TEOM FDMS)
2017-11-05,12:00:00,3.3,V ugm-3 (TEOM FDMS),5.626,V ugm-3 (TEOM FDMS)
2017-11-05,13:00:00,3.3,V ugm-3 (TEOM FDMS),5.922,V ugm-3 (TEOM FDMS)
2017-11-05,14:00:00,2.8,V ugm-3 (TEOM FDMS),4.54,V ugm-3 (TEOM FDMS)
2017-11-05,15:00:00,4.6,V ugm-3 (TEOM FDMS),4.54,V ugm-3 (TEOM FDMS)
2017-11-05,16:00:00,0.8,V ugm-3 (TEOM FDMS),3.257,V ugm-3 (TEOM FDMS)
2017-11-05,17:00:00,3.1,V ugm-3 (TEOM FDMS),5.429,V ugm-3 (TEOM FDMS)
2017-11-05,18:00:00,8.2,V ugm-3 (TEOM FDMS),7.403,V ugm-3 (TEOM FDMS)
2017-11-05,19:00:00,24.1,V ugm-3 (TEOM FDMS),20.333,V ugm-3 (TEOM FDMS)
2017-11-05,20:00:00,40.5,V ugm-3 (TEOM FDMS),44.515,V ugm-3 (TEOM FDMS)
2017-11-05,21:00:00,97.6,V ugm-3 (TEOM FDMS),86.759,V ugm-3 (TEOM FDMS)
2017-11-05,22:00:00,110.1,V ugm-3 (TEOM FDMS),91.596,V ugm-3 (TEOM FDMS)
2017-11-05,23:00:00,115.8,V ugm-3 (TEOM FDMS),122.193,V ugm-3 (TEOM FDMS)
2017-11-05,24:00:00,115.7,V ugm-3 (TEOM FDMS),125.747,V ugm-3 (TEOM FDMS)
2017-11-06,01:00:00,184.3,V ugm-3 (TEOM FDMS),154.349,V ugm-3 (TEOM FDMS)
2017-11-06,02:00:00,99.4,V ugm-3 (TEOM FDMS),90.991,V ugm-3 (TEOM FDMS)
2017-11-06,03:00:00,56.4,V ugm-3 (TEOM FDMS),57.733,V ugm-3 (TEOM FDMS)
2017-11-06,04:00:00,37,V ugm-3 (TEOM FDMS),52.206,V ugm-3 (TEOM FDMS)
2017-11-06,05:00:00,22.8,V ugm-3 (TEOM FDMS),33.357,V ugm-3 (TEOM FDMS)
2017-11-06,06:00:00,35.5,V ugm-3 (TEOM FDMS),27.929,V ugm-3 (TEOM FDMS)
2017-11-06,07:00:00,25.2,V ugm-3 (TEOM FDMS),20.33,V ugm-3 (TEOM FDMS)
2017-11-06,08:00:00,24.7,V ugm-3 (TEOM FDMS),22.304,V ugm-3 (TEOM FDMS)
2017-11-06,09:00:00,23.5,V ugm-3 (TEOM FDMS),21.119,V ugm-3 (TEOM FDMS)
2017-11-06,10:00:00,11.8,V ugm-3 (TEOM FDMS),11.053,V ugm-3 (TEOM FDMS)
2017-11-06,11:00:00,7.1,V ugm-3 (TEOM FDMS),6.612,V ugm-3 (TEOM FDMS)
2017-11-06,12:00:00,4.6,V ugm-3 (TEOM FDMS),5.132,V ugm-3 (TEOM FDMS)
